state_name,county_name,fips_code,date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
California,Marin County,06041,11/03/2020,26.659,0.90,moderate
California,Humboldt County,06023,10/17/2022,75.982,,substantial
California,San Benito County,06069,10/17/2022,63.686,,substantial
California,San Francisco County,06075,10/17/2022,63.865,,substantial
California,Sonoma County,06097,10/17/2022,54.416,,substantial
California,Calaveras County,06009,10/17/2022,34.855,,moderate
California,El Dorado County,06017,10/17/2022,30.595,,moderate
California,Los Angeles County,06037,10/17/2022,73.423,,substantial
California,Madera County,06039,10/17/2022,36.866,,moderate
California,San Diego County,06073,10/17/2022,59.071,,substantial
California,San Joaquin County,06077,10/17/2022,66.916,,substantial
California,Siskiyou County,06093,10/17/2022,41.342,,moderate
California,Tuolumne County,06109,10/17/2022,60.575,,substantial
California,Alameda County,06001,10/17/2022,61.628,,substantial
California,Lake County,06033,10/17/2022,35.722,,moderate
California,Placer County,06061,10/17/2022,46.193,,moderate
California,Yuba County,06115,10/17/2022,44.491,,moderate
California,Alpine County,06003,10/17/2022,0.000,,low
California,Amador County,06005,10/17/2022,45.281,,moderate
California,Mendocino County,06045,10/17/2022,49.568,,moderate
California,Modoc County,06049,10/17/2022,suppressed,,substantial
California,Mono County,06051,10/17/2022,suppressed,,low
California,Monterey County,06053,10/17/2022,23.499,,moderate
California,Napa County,06055,10/17/2022,52.271,,substantial
California,Sacramento County,06067,10/17/2022,53.026,,substantial
California,Sutter County,06101,10/17/2022,29.906,,moderate
California,Trinity County,06105,10/17/2022,suppressed,,substantial
California,Yolo County,06113,10/17/2022,44.898,,moderate
California,Fresno County,06019,10/17/2022,57.051,,substantial
California,Kings County,06031,10/17/2022,50.347,,substantial
California,Plumas County,06063,10/17/2022,69.123,,substantial
California,Tehama County,06103,10/17/2022,32.266,,moderate
California,Colusa County,06011,10/17/2022,69.615,,substantial
California,Del Norte County,06015,10/17/2022,suppressed,,moderate
California,Kern County,06029,10/17/2022,135.525,,high
California,Lassen County,06035,10/17/2022,suppressed,,moderate
California,Mariposa County,06043,10/17/2022,suppressed,,moderate
California,Riverside County,06065,10/17/2022,46.629,,moderate
California,Shasta County,06089,10/17/2022,50.533,,substantial
California,Ventura County,06111,10/17/2022,52.364,,substantial
California,Imperial County,06025,10/17/2022,112.573,,high
California,Marin County,06041,10/17/2022,80.749,,substantial
California,Merced County,06047,10/17/2022,39.614,,moderate
California,San Mateo County,06081,10/17/2022,71.096,,substantial
California,Sierra County,06091,10/17/2022,0.000,,low
California,Butte County,06007,10/17/2022,58.398,,substantial
California,Contra Costa County,06013,10/17/2022,70.913,,substantial
California,Glenn County,06021,10/17/2022,84.528,,substantial
California,Inyo County,06027,10/17/2022,55.435,,substantial
California,Orange County,06059,10/17/2022,57.940,,substantial
California,San Bernardino County,06071,10/17/2022,63.254,,substantial
California,Santa Cruz County,06087,10/17/2022,81.987,,substantial
California,Solano County,06095,10/17/2022,56.742,,substantial
California,Nevada County,06057,10/17/2022,43.106,,moderate
California,San Luis Obispo County,06079,10/17/2022,44.152,,moderate
California,Santa Barbara County,06083,10/17/2022,57.559,,substantial
California,Santa Clara County,06085,10/17/2022,61.156,,substantial
California,Stanislaus County,06099,10/17/2022,30.872,,moderate
California,Tulare County,06107,10/17/2022,40.112,,moderate
California,Mariposa County,06043,08/19/2021,377.841,,high
California,Mariposa County,06043,01/06/2022,354.589,,high
California,Siskiyou County,06093,02/04/2022,558.120,,high
California,Napa County,06055,06/26/2021,10.164,1.05,moderate
California,Trinity County,06105,08/28/2021,447.700,,high
California,Plumas County,06063,06/30/2020,0.000,,low
California,Lake County,06033,09/10/2020,45.041,4.23,moderate
California,Calaveras County,06009,03/04/2020,0.000,,low
California,Fresno County,06019,03/04/2020,suppressed,0.00,low
California,Kings County,06031,03/04/2020,0.000,0.00,low
California,Mendocino County,06045,03/04/2020,0.000,,low
California,Riverside County,06065,03/04/2020,0.000,0.00,low
California,San Diego County,06073,03/04/2020,0.000,0.00,low
California,San Francisco County,06075,03/04/2020,0.000,0.00,low
California,Santa Barbara County,06083,03/04/2020,0.000,,low
California,Santa Cruz County,06087,03/04/2020,0.000,,low
California,Tulare County,06107,03/04/2020,0.000,0.00,low
California,Contra Costa County,06013,03/04/2020,suppressed,,low
California,Imperial County,06025,03/04/2020,0.000,0.00,low
California,Los Angeles County,06037,03/04/2020,suppressed,38.46,low
California,Madera County,06039,03/04/2020,0.000,,low
California,Mono County,06051,03/04/2020,0.000,,low
California,San Joaquin County,06077,03/04/2020,0.000,0.00,low
California,Shasta County,06089,03/04/2020,0.000,,low
California,Tehama County,06103,03/04/2020,0.000,0.00,low
California,Trinity County,06105,03/04/2020,0.000,,low
California,Tuolumne County,06109,03/04/2020,0.000,,low
California,Butte County,06007,03/04/2020,0.000,,low
California,Kern County,06029,03/04/2020,0.000,0.00,low
California,Merced County,06047,03/04/2020,0.000,0.00,low
California,Modoc County,06049,03/04/2020,0.000,,low
California,Monterey County,06053,03/04/2020,0.000,,low
California,Napa County,06055,03/04/2020,0.000,,low
California,Placer County,06061,03/04/2020,suppressed,,low
California,Santa Clara County,06085,03/04/2020,0.519,100.00,low
California,Sutter County,06101,03/04/2020,0.000,,low
California,Humboldt County,06023,03/04/2020,0.000,0.00,low
California,Lake County,06033,03/04/2020,0.000,,low
California,Orange County,06059,03/04/2020,suppressed,12.50,low
California,Siskiyou County,06093,03/04/2020,0.000,,low
California,Solano County,06095,03/04/2020,suppressed,4.76,low
California,Yuba County,06115,03/04/2020,0.000,,low
California,Marin County,06041,03/04/2020,0.000,0.00,low
California,San Benito County,06069,03/04/2020,0.000,,low
California,Sierra County,06091,03/04/2020,0.000,,low
California,Alameda County,06001,03/04/2020,suppressed,6.45,low
California,Amador County,06005,03/04/2020,0.000,,low
California,Lassen County,06035,03/04/2020,0.000,,low
California,Nevada County,06057,03/04/2020,0.000,,low
California,Ventura County,06111,03/04/2020,0.000,40.00,low
California,Alpine County,06003,03/04/2020,0.000,,low
California,Colusa County,06011,03/04/2020,0.000,,low
California,Del Norte County,06015,03/04/2020,0.000,,low
California,Inyo County,06027,03/04/2020,0.000,,low
California,Plumas County,06063,03/04/2020,0.000,,low
California,Sacramento County,06067,03/04/2020,0.000,0.00,low
California,Stanislaus County,06099,03/04/2020,0.000,0.00,low
California,El Dorado County,06017,03/04/2020,0.000,,low
California,San Mateo County,06081,03/04/2020,suppressed,13.33,low
California,Sonoma County,06097,03/04/2020,suppressed,66.67,low
California,Glenn County,06021,03/04/2020,0.000,,low
California,Mariposa County,06043,03/04/2020,0.000,,low
